iter	RMSE
0	55.17758786
1	54.21162161
2	53.33800413
3	52.54455239
4	51.7824782
5	51.06177925
6	50.42571984
7	49.80851573
8	49.27041624
9	48.7893154
10	48.32125347
11	47.87266966
12	47.43870995
13	47.07439695
14	46.72212273
15	46.39128954
16	46.12924563
17	45.88546304
18	45.63521876
19	45.40032798
20	45.20353085
21	45.01781466
22	44.83607293
23	44.64906945
24	44.5051819
25	44.35378901
26	44.21284585
27	44.08603139
28	43.9679944
29	43.87056242
30	43.80354502
31	43.70705349
32	43.62092958
33	43.54433078
34	43.46772374
35	43.3956475
36	43.32045285
37	43.26235301
38	43.20457806
39	43.15486641
40	43.10165832
41	43.05054865
42	43.00547912
43	42.98210809
44	42.94733417
45	42.9078277
46	42.86724905
47	42.82521349
48	42.79435815
49	42.7623911
50	42.73438962
51	42.7072553
52	42.67926934
53	42.64712396
54	42.62509879
55	42.60742373
56	42.58941955
57	42.57737692
58	42.5582458
59	42.53421785
60	42.51016796
61	42.50258788
62	42.49481983
63	42.48168932
64	42.46662296
65	42.45139499
66	42.44511947
67	42.43167599
68	42.41856724
69	42.40354355
70	42.39011405
71	42.36288189
72	42.35130589
73	42.33868589
74	42.3261244
75	42.3172861
76	42.30405458
77	42.2961319
78	42.28836716
79	42.28030099
80	42.26900011
81	42.25880358
82	42.24681258
83	42.2350229
84	42.22588267
85	42.21694078
86	42.20523017
87	42.19187224
88	42.18825679
89	42.18088582
90	42.17535965
91	42.16770764
92	42.15773965
93	42.14834627
94	42.14043855
95	42.12906935
96	42.12019366
97	42.11580621
98	42.10915053
99	42.10399682
100	42.09441972
101	42.09190118
102	42.08488487
103	42.07834634
104	42.07192753
105	42.06358309
106	42.05748326
107	42.04705558
108	42.04387484
109	42.04182599
110	42.03786183
111	42.03305058
112	42.02691671
113	42.01930766
114	42.01366384
115	42.00943133
116	42.00639151
117	41.99908407
118	41.99234608
119	41.99005895
120	41.98391186
121	41.9813807
122	41.97507841
123	41.9700254
124	41.9639528
125	41.95577874
126	41.95166118
127	41.94615366
128	41.93515911
129	41.92751486
130	41.92478554
131	41.91357969
132	41.9072465
133	41.90274183
134	41.89666709
135	41.89055222
136	41.88376485
137	41.88336058
138	41.87937743
139	41.87849267
140	41.87159493
141	41.86667703
142	41.86067073
143	41.85123176
144	41.84368318
145	41.84018877
146	41.83280482
147	41.82983761
148	41.8264808
149	41.82255512
150	41.8135577
151	41.81063488
152	41.80803004
153	41.80454599
154	41.79746085
155	41.79116286
156	41.78467456
157	41.77968637
158	41.77698244
159	41.7729956
160	41.76674934
161	41.76254025
162	41.75517174
163	41.75131841
164	41.74485204
165	41.73583971
166	41.72622474
167	41.71919097
168	41.7137482
169	41.70839584
170	41.7005971
171	41.69657124
172	41.69342176
173	41.68265583
174	41.67760419
175	41.66968914
176	41.66431791
177	41.66210366
178	41.65506234
179	41.65094959
180	41.64305747
181	41.6391143
182	41.63354721
183	41.62965123
184	41.62308825
185	41.61594597
186	41.61030491
187	41.60711102
188	41.60359135
189	41.59999193
190	41.59648702
191	41.59293763
192	41.58912076
193	41.58725915
194	41.5813941
195	41.57674981
196	41.57369646
197	41.57054995
198	41.56672195
199	41.56374352
200	41.55843712
201	41.55305163
202	41.55021951
203	41.54620574
204	41.53830258
205	41.53314593
206	41.52782966
207	41.52467574
208	41.52085073
209	41.5160518
210	41.51250618
211	41.50927713
212	41.50208428
213	41.4985524
214	41.4910288
215	41.48406832
216	41.48077185
217	41.47659763
218	41.47224346
219	41.46792808
220	41.46485917
221	41.46155057
222	41.4524518
223	41.44605092
224	41.43753305
225	41.43428079
226	41.4300436
227	41.42649266
228	41.42205529
229	41.4163779
230	41.41126398
231	41.40639362
232	41.40429546
233	41.39918199
234	41.39587991
235	41.3928986
236	41.3909339
237	41.38355577
238	41.37951686
239	41.3764605
240	41.37412002
241	41.36955961
242	41.36533967
243	41.36182128
244	41.35607358
245	41.35147372
246	41.34663456
247	41.3408489
248	41.33758154
249	41.33548603
250	41.33243418
251	41.32891398
252	41.32380962
253	41.31732753
254	41.30989473
255	41.30602575
256	41.30374547
257	41.30016335
258	41.29718289
259	41.29365184
260	41.28722395
261	41.28316612
262	41.27986211
263	41.27796583
264	41.27550729
265	41.27299602
266	41.26864206
267	41.26376363
268	41.2564172
269	41.25414522
270	41.25198593
